target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086B0430,0x086B0980,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
jp_rev0,front,shiny,0x086B0430,0x087D6E7C,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
jp_rev0,back,normal,0x086B09A8,0x086B0980,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
jp_rev0,back,shiny,0x086B09A8,0x087D6E7C,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
es_rev1,front,normal,0x08D336D8,0x08D33C28,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
es_rev1,front,shiny,0x08D336D8,0x08E5A174,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
es_rev1,back,normal,0x08D33C50,0x08D33C28,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
es_rev1,back,shiny,0x08D33C50,0x08E5A174,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
es_rev0,front,normal,0x08D336D8,0x08D33C28,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
es_rev0,front,shiny,0x08D336D8,0x08E5A174,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
es_rev0,back,normal,0x08D33C50,0x08D33C28,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
es_rev0,back,shiny,0x08D33C50,0x08E5A174,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
de_debug,front,normal,0x08D336C4,0x08D33C14,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
de_debug,front,shiny,0x08D336C4,0x08E5A160,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
de_debug,back,normal,0x08D33C3C,0x08D33C14,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
de_debug,back,shiny,0x08D33C3C,0x08E5A160,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
de_rev1,front,normal,0x08D336C4,0x08D33C14,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
de_rev1,front,shiny,0x08D336C4,0x08E5A160,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
de_rev1,back,normal,0x08D33C3C,0x08D33C14,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
de_rev1,back,shiny,0x08D33C3C,0x08E5A160,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
de_rev0,front,normal,0x08D336C4,0x08D33C14,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
de_rev0,front,shiny,0x08D336C4,0x08E5A160,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
de_rev0,back,normal,0x08D33C3C,0x08D33C14,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
de_rev0,back,shiny,0x08D33C3C,0x08E5A160,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
en_eu_rev1,front,normal,0x08D3362C,0x08D33B7C,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
en_eu_rev1,front,shiny,0x08D3362C,0x08E5A0C8,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
en_eu_rev1,back,normal,0x08D33BA4,0x08D33B7C,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
en_eu_rev1,back,shiny,0x08D33BA4,0x08E5A0C8,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
en_us_rev0,front,normal,0x08D3362C,0x08D33B7C,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
en_us_rev0,front,shiny,0x08D3362C,0x08E5A0C8,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
en_us_rev0,back,normal,0x08D33BA4,0x08D33B7C,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
en_us_rev0,back,shiny,0x08D33BA4,0x08E5A0C8,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
en_useu_rev2,front,normal,0x08D3362C,0x08D33B7C,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
en_useu_rev2,front,shiny,0x08D3362C,0x08E5A0C8,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
en_useu_rev2,back,normal,0x08D33BA4,0x08D33B7C,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
en_useu_rev2,back,shiny,0x08D33BA4,0x08E5A0C8,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
fr_rev1,front,normal,0x08D336E0,0x08D33C30,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
fr_rev1,front,shiny,0x08D336E0,0x08E5A17C,graphics/pokemon/006/006_front_shiny_58ca12a38ed6.png
fr_rev1,back,normal,0x08D33C58,0x08D33C30,graphics/pokemon/006/006_back_normal_dfd022fd28a1.png
fr_rev1,back,shiny,0x08D33C58,0x08E5A17C,graphics/pokemon/006/006_back_shiny_db3b65554cef.png
fr_rev0,front,normal,0x08D336E0,0x08D33C30,graphics/pokemon/006/006_front_normal_34b02fbf1be7.png
