target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086AEF84,0x086AF234,graphics/pokemon/004/004_front_normal_54eef45bb10b.png
jp_rev0,front,shiny,0x086AEF84,0x087D6E2C,graphics/pokemon/004/004_front_shiny_ec0dd3bf072f.png
jp_rev0,back,normal,0x086AF25C,0x086AF234,graphics/pokemon/004/004_back_normal_65f5b50a6be1.png
jp_rev0,back,shiny,0x086AF25C,0x087D6E2C,graphics/pokemon/004/004_back_shiny_800551fab24d.png
es_rev1,front,normal,0x08D3222C,0x08D324DC,graphics/pokemon/004/004_front_normal_54eef45bb10b.png
es_rev1,front,shiny,0x08D3222C,0x08E5A124,graphics/pokemon/004/004_front_shiny_ec0dd3bf072f.png
es_rev1,back,normal,0x08D32504,0x08D324DC,graphics/pokemon/004/004_back_normal_65f5b50a6be1.png
es_rev1,back,shiny,0x08D32504,0x08E5A124,graphics/pokemon/004/004_back_shiny_800551fab24d.png
es_rev0,front,normal,0x08D3222C,0x08D324DC,graphics/pokemon/004/004_front_normal_54eef45bb10b.png
es_rev0,front,shiny,0x08D3222C,0x08E5A124,graphics/pokemon/004/004_front_shiny_ec0dd3bf072f.png
es_rev0,back,normal,0x08D32504,0x08D324DC,graphics/pokemon/004/004_back_normal_65f5b50a6be1.png
es_rev0,back,shiny,0x08D32504,0x08E5A124,graphics/pokemon/004/004_back_shiny_800551fab24d.png
de_debug,front,normal,0x08D32218,0x08D324C8,graphics/pokemon/004/004_front_normal_54eef45bb10b.png
de_debug,front,shiny,0x08D32218,0x08E5A110,graphics/pokemon/004/004_front_shiny_ec0dd3bf072f.png
de_debug,back,normal,0x08D324F0,0x08D324C8,graphics/pokemon/004/004_back_normal_65f5b50a6be1.png
de_debug,back,shiny,0x08D324F0,0x08E5A110,graphics/pokemon/004/004_back_shiny_800551fab24d.png
de_rev1,front,normal,0x08D32218,0x08D324C8,graphics/pokemon/004/004_front_normal_54eef45bb10b.png
de_rev1,front,shiny,0x08D32218,0x08E5A110,graphics/pokemon/004/004_front_shiny_ec0dd3bf072f.png
de_rev1,back,normal,0x08D324F0,0x08D324C8,graphics/pokemon/004/004_back_normal_65f5b50a6be1.png
