target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086B26F8,0x086B2BFC,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
jp_rev0,front,shiny,0x086B26F8,0x087D6EF4,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
jp_rev0,back,normal,0x086B2C24,0x086B2BFC,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
jp_rev0,back,shiny,0x086B2C24,0x087D6EF4,graphics/pokemon/009/009_back_shiny_afc503c23036.png
es_rev1,front,normal,0x08D359A0,0x08D35EA4,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
es_rev1,front,shiny,0x08D359A0,0x08E5A1EC,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
es_rev1,back,normal,0x08D35ECC,0x08D35EA4,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
es_rev1,back,shiny,0x08D35ECC,0x08E5A1EC,graphics/pokemon/009/009_back_shiny_afc503c23036.png
es_rev0,front,normal,0x08D359A0,0x08D35EA4,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
es_rev0,front,shiny,0x08D359A0,0x08E5A1EC,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
es_rev0,back,normal,0x08D35ECC,0x08D35EA4,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
es_rev0,back,shiny,0x08D35ECC,0x08E5A1EC,graphics/pokemon/009/009_back_shiny_afc503c23036.png
de_debug,front,normal,0x08D3598C,0x08D35E90,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
de_debug,front,shiny,0x08D3598C,0x08E5A1D8,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
de_debug,back,normal,0x08D35EB8,0x08D35E90,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
de_debug,back,shiny,0x08D35EB8,0x08E5A1D8,graphics/pokemon/009/009_back_shiny_afc503c23036.png
de_rev1,front,normal,0x08D3598C,0x08D35E90,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
de_rev1,front,shiny,0x08D3598C,0x08E5A1D8,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
de_rev1,back,normal,0x08D35EB8,0x08D35E90,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
de_rev1,back,shiny,0x08D35EB8,0x08E5A1D8,graphics/pokemon/009/009_back_shiny_afc503c23036.png
de_rev0,front,normal,0x08D3598C,0x08D35E90,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
de_rev0,front,shiny,0x08D3598C,0x08E5A1D8,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
de_rev0,back,normal,0x08D35EB8,0x08D35E90,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
de_rev0,back,shiny,0x08D35EB8,0x08E5A1D8,graphics/pokemon/009/009_back_shiny_afc503c23036.png
en_eu_rev1,front,normal,0x08D358F4,0x08D35DF8,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
en_eu_rev1,front,shiny,0x08D358F4,0x08E5A140,graphics/pokemon/009/009_front_shiny_dc9cdf078429.png
en_eu_rev1,back,normal,0x08D35E20,0x08D35DF8,graphics/pokemon/009/009_back_normal_ff726ed6bc04.png
en_eu_rev1,back,shiny,0x08D35E20,0x08E5A140,graphics/pokemon/009/009_back_shiny_afc503c23036.png
en_us_rev0,front,normal,0x08D358F4,0x08D35DF8,graphics/pokemon/009/009_front_normal_14988d3b4aa1.png
