target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086B120C,0x086B14E8,graphics/pokemon/007/007_front_normal_ccf930941707.png
jp_rev0,front,shiny,0x086B120C,0x087D6EA4,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
jp_rev0,back,normal,0x086B1510,0x086B14E8,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
jp_rev0,back,shiny,0x086B1510,0x087D6EA4,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
es_rev1,front,normal,0x08D344B4,0x08D34790,graphics/pokemon/007/007_front_normal_ccf930941707.png
es_rev1,front,shiny,0x08D344B4,0x08E5A19C,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
es_rev1,back,normal,0x08D347B8,0x08D34790,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
es_rev1,back,shiny,0x08D347B8,0x08E5A19C,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
es_rev0,front,normal,0x08D344B4,0x08D34790,graphics/pokemon/007/007_front_normal_ccf930941707.png
es_rev0,front,shiny,0x08D344B4,0x08E5A19C,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
es_rev0,back,normal,0x08D347B8,0x08D34790,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
es_rev0,back,shiny,0x08D347B8,0x08E5A19C,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
de_debug,front,normal,0x08D344A0,0x08D3477C,graphics/pokemon/007/007_front_normal_ccf930941707.png
de_debug,front,shiny,0x08D344A0,0x08E5A188,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
de_debug,back,normal,0x08D347A4,0x08D3477C,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
de_debug,back,shiny,0x08D347A4,0x08E5A188,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
de_rev1,front,normal,0x08D344A0,0x08D3477C,graphics/pokemon/007/007_front_normal_ccf930941707.png
de_rev1,front,shiny,0x08D344A0,0x08E5A188,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
de_rev1,back,normal,0x08D347A4,0x08D3477C,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
de_rev1,back,shiny,0x08D347A4,0x08E5A188,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
de_rev0,front,normal,0x08D344A0,0x08D3477C,graphics/pokemon/007/007_front_normal_ccf930941707.png
de_rev0,front,shiny,0x08D344A0,0x08E5A188,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
de_rev0,back,normal,0x08D347A4,0x08D3477C,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
de_rev0,back,shiny,0x08D347A4,0x08E5A188,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
en_eu_rev1,front,normal,0x08D34408,0x08D346E4,graphics/pokemon/007/007_front_normal_ccf930941707.png
en_eu_rev1,front,shiny,0x08D34408,0x08E5A0F0,graphics/pokemon/007/007_front_shiny_7bb59fabeb3f.png
en_eu_rev1,back,normal,0x08D3470C,0x08D346E4,graphics/pokemon/007/007_back_normal_9ac3a6bbd239.png
en_eu_rev1,back,shiny,0x08D3470C,0x08E5A0F0,graphics/pokemon/007/007_back_shiny_66fe94fd9119.png
en_us_rev0,front,normal,0x08D34408,0x08D346E4,graphics/pokemon/007/007_front_normal_ccf930941707.png
