target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086ACB90,0x086ACE28,graphics/pokemon/001/001_front_normal_770563fa3eb0.png
jp_rev0,front,shiny,0x086ACB90,0x087D6E04,graphics/pokemon/001/001_front_shiny_75e24721da8b.png
jp_rev0,back,normal,0x086ACE50,0x086ACE28,graphics/pokemon/001/001_back_normal_38d7fef24946.png
jp_rev0,back,shiny,0x086ACE50,0x087D6E04,graphics/pokemon/001/001_back_shiny_aeb9dd683bfa.png
es_rev1,front,normal,0x08D2FE38,0x08D300D0,graphics/pokemon/001/001_front_normal_770563fa3eb0.png
es_rev1,front,shiny,0x08D2FE38,0x08E5A0FC,graphics/pokemon/001/001_front_shiny_75e24721da8b.png
es_rev1,back,normal,0x08D300F8,0x08D300D0,graphics/pokemon/001/001_back_normal_38d7fef24946.png
es_rev1,back,shiny,0x08D300F8,0x08E5A0FC,graphics/pokemon/001/001_back_shiny_aeb9dd683bfa.png
es_rev0,front,normal,0x08D2FE38,0x08D300D0,graphics/pokemon/001/001_front_normal_770563fa3eb0.png
es_rev0,front,shiny,0x08D2FE38,0x08E5A0FC,graphics/pokemon/001/001_front_shiny_75e24721da8b.png
es_rev0,back,normal,0x08D300F8,0x08D300D0,graphics/pokemon/001/001_back_normal_38d7fef24946.png
es_rev0,back,shiny,0x08D300F8,0x08E5A0FC,graphics/pokemon/001/001_back_shiny_aeb9dd683bfa.png
de_debug,front,normal,0x08D2FE24,0x08D300BC,graphics/pokemon/001/001_front_normal_770563fa3eb0.png
de_debug,front,shiny,0x08D2FE24,0x08E5A0E8,graphics/pokemon/001/001_front_shiny_75e24721da8b.png
de_debug,back,normal,0x08D300E4,0x08D300BC,graphics/pokemon/001/001_back_normal_38d7fef24946.png
de_debug,back,shiny,0x08D300E4,0x08E5A0E8,graphics/pokemon/001/001_back_shiny_aeb9dd683bfa.png
de_rev1,front,normal,0x08D2FE24,0x08D300BC,graphics/pokemon/001/001_front_normal_770563fa3eb0.png
de_rev1,front,shiny,0x08D2FE24,0x08E5A0E8,graphics/pokemon/001/001_front_shiny_75e24721da8b.png
de_rev1,back,normal,0x08D300E4,0x08D300BC,graphics/pokemon/001/001_back_normal_38d7fef24946.png
de_rev1,back,shiny,0x08D300E4,0x08E5A0E8,graphics/pokemon/001/001_back_shiny_aeb9dd683bfa.png
de_rev0,front,normal,0x08D2FE24,0x08D300BC,graphics/pokemon/001/001_front_normal_770563fa3eb0.png
de_rev0,front,shiny,0x08D2FE24,0x08E5A0E8,graphics/pokemon/001/001_front_shiny_75e24721da8b.png
de_rev0,back,normal,0x08D300E4,0x08D300BC,graphics/pokemon/001/001_back_normal_38d7fef24946.png
