target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086B1BD8,0x086B1F54,graphics/pokemon/008/008_front_normal_27fb25474b09.png
jp_rev0,front,shiny,0x086B1BD8,0x087D6ECC,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
jp_rev0,back,normal,0x086B1F7C,0x086B1F54,graphics/pokemon/008/008_back_normal_0480e59f386c.png
jp_rev0,back,shiny,0x086B1F7C,0x087D6ECC,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
es_rev1,front,normal,0x08D34E80,0x08D351FC,graphics/pokemon/008/008_front_normal_27fb25474b09.png
es_rev1,front,shiny,0x08D34E80,0x08E5A1C4,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
es_rev1,back,normal,0x08D35224,0x08D351FC,graphics/pokemon/008/008_back_normal_0480e59f386c.png
es_rev1,back,shiny,0x08D35224,0x08E5A1C4,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
es_rev0,front,normal,0x08D34E80,0x08D351FC,graphics/pokemon/008/008_front_normal_27fb25474b09.png
es_rev0,front,shiny,0x08D34E80,0x08E5A1C4,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
es_rev0,back,normal,0x08D35224,0x08D351FC,graphics/pokemon/008/008_back_normal_0480e59f386c.png
es_rev0,back,shiny,0x08D35224,0x08E5A1C4,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
de_debug,front,normal,0x08D34E6C,0x08D351E8,graphics/pokemon/008/008_front_normal_27fb25474b09.png
de_debug,front,shiny,0x08D34E6C,0x08E5A1B0,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
de_debug,back,normal,0x08D35210,0x08D351E8,graphics/pokemon/008/008_back_normal_0480e59f386c.png
de_debug,back,shiny,0x08D35210,0x08E5A1B0,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
de_rev1,front,normal,0x08D34E6C,0x08D351E8,graphics/pokemon/008/008_front_normal_27fb25474b09.png
de_rev1,front,shiny,0x08D34E6C,0x08E5A1B0,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
de_rev1,back,normal,0x08D35210,0x08D351E8,graphics/pokemon/008/008_back_normal_0480e59f386c.png
de_rev1,back,shiny,0x08D35210,0x08E5A1B0,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
de_rev0,front,normal,0x08D34E6C,0x08D351E8,graphics/pokemon/008/008_front_normal_27fb25474b09.png
de_rev0,front,shiny,0x08D34E6C,0x08E5A1B0,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
de_rev0,back,normal,0x08D35210,0x08D351E8,graphics/pokemon/008/008_back_normal_0480e59f386c.png
de_rev0,back,shiny,0x08D35210,0x08E5A1B0,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
en_eu_rev1,front,normal,0x08D34DD4,0x08D35150,graphics/pokemon/008/008_front_normal_27fb25474b09.png
en_eu_rev1,front,shiny,0x08D34DD4,0x08E5A118,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
en_eu_rev1,back,normal,0x08D35178,0x08D35150,graphics/pokemon/008/008_back_normal_0480e59f386c.png
en_eu_rev1,back,shiny,0x08D35178,0x08E5A118,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
en_us_rev0,front,normal,0x08D34DD4,0x08D35150,graphics/pokemon/008/008_front_normal_27fb25474b09.png
en_us_rev0,front,shiny,0x08D34DD4,0x08E5A118,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
en_us_rev0,back,normal,0x08D35178,0x08D35150,graphics/pokemon/008/008_back_normal_0480e59f386c.png
en_us_rev0,back,shiny,0x08D35178,0x08E5A118,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
en_useu_rev2,front,normal,0x08D34DD4,0x08D35150,graphics/pokemon/008/008_front_normal_27fb25474b09.png
en_useu_rev2,front,shiny,0x08D34DD4,0x08E5A118,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
en_useu_rev2,back,normal,0x08D35178,0x08D35150,graphics/pokemon/008/008_back_normal_0480e59f386c.png
en_useu_rev2,back,shiny,0x08D35178,0x08E5A118,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
fr_rev1,front,normal,0x08D34E88,0x08D35204,graphics/pokemon/008/008_front_normal_27fb25474b09.png
fr_rev1,front,shiny,0x08D34E88,0x08E5A1CC,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
fr_rev1,back,normal,0x08D3522C,0x08D35204,graphics/pokemon/008/008_back_normal_0480e59f386c.png
fr_rev1,back,shiny,0x08D3522C,0x08E5A1CC,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
fr_rev0,front,normal,0x08D34E88,0x08D35204,graphics/pokemon/008/008_front_normal_27fb25474b09.png
fr_rev0,front,shiny,0x08D34E88,0x08E5A1CC,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
fr_rev0,back,normal,0x08D3522C,0x08D35204,graphics/pokemon/008/008_back_normal_0480e59f386c.png
fr_rev0,back,shiny,0x08D3522C,0x08E5A1CC,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
it_rev1,front,normal,0x08D34EB8,0x08D35234,graphics/pokemon/008/008_front_normal_27fb25474b09.png
it_rev1,front,shiny,0x08D34EB8,0x08E5A1FC,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
it_rev1,back,normal,0x08D3525C,0x08D35234,graphics/pokemon/008/008_back_normal_0480e59f386c.png
it_rev1,back,shiny,0x08D3525C,0x08E5A1FC,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
it_rev0,front,normal,0x08D34EB8,0x08D35234,graphics/pokemon/008/008_front_normal_27fb25474b09.png
it_rev0,front,shiny,0x08D34EB8,0x08E5A1FC,graphics/pokemon/008/008_front_shiny_1c6bb0bf5492.png
it_rev0,back,normal,0x08D3525C,0x08D35234,graphics/pokemon/008/008_back_normal_0480e59f386c.png
it_rev0,back,shiny,0x08D3525C,0x08E5A1FC,graphics/pokemon/008/008_back_shiny_571c489e5ecf.png
