target_id,pose,variant,pic_pointer,palette_pointer,asset_path
jp_rev0,front,normal,0x086AD548,0x086AD8BC,graphics/pokemon/002/002_front_normal_5e752df612e3.png
jp_rev0,front,shiny,0x086AD548,0x087D6D8C,graphics/pokemon/002/002_front_shiny_3b4d2df6bbae.png
jp_rev0,back,normal,0x086AD8E4,0x086AD8BC,graphics/pokemon/002/002_back_normal_289deb065a2d.png
jp_rev0,back,shiny,0x086AD8E4,0x087D6D8C,graphics/pokemon/002/002_back_shiny_6e5500ccbf55.png
es_rev1,front,normal,0x08D307F0,0x08D30B64,graphics/pokemon/002/002_front_normal_5e752df612e3.png
es_rev1,front,shiny,0x08D307F0,0x08E5A084,graphics/pokemon/002/002_front_shiny_3b4d2df6bbae.png
es_rev1,back,normal,0x08D30B8C,0x08D30B64,graphics/pokemon/002/002_back_normal_289deb065a2d.png
es_rev1,back,shiny,0x08D30B8C,0x08E5A084,graphics/pokemon/002/002_back_shiny_6e5500ccbf55.png
es_rev0,front,normal,0x08D307F0,0x08D30B64,graphics/pokemon/002/002_front_normal_5e752df612e3.png
es_rev0,front,shiny,0x08D307F0,0x08E5A084,graphics/pokemon/002/002_front_shiny_3b4d2df6bbae.png
es_rev0,back,normal,0x08D30B8C,0x08D30B64,graphics/pokemon/002/002_back_normal_289deb065a2d.png
es_rev0,back,shiny,0x08D30B8C,0x08E5A084,graphics/pokemon/002/002_back_shiny_6e5500ccbf55.png
de_debug,front,normal,0x08D307DC,0x08D30B50,graphics/pokemon/002/002_front_normal_5e752df612e3.png
de_debug,front,shiny,0x08D307DC,0x08E5A070,graphics/pokemon/002/002_front_shiny_3b4d2df6bbae.png
de_debug,back,normal,0x08D30B78,0x08D30B50,graphics/pokemon/002/002_back_normal_289deb065a2d.png
de_debug,back,shiny,0x08D30B78,0x08E5A070,graphics/pokemon/002/002_back_shiny_6e5500ccbf55.png
de_rev1,front,normal,0x08D307DC,0x08D30B50,graphics/pokemon/002/002_front_normal_5e752df612e3.png
de_rev1,front,shiny,0x08D307DC,0x08E5A070,graphics/pokemon/002/002_front_shiny_3b4d2df6bbae.png
de_rev1,back,normal,0x08D30B78,0x08D30B50,graphics/pokemon/002/002_back_normal_289deb065a2d.png
de_rev1,back,shiny,0x08D30B78,0x08E5A070,graphics/pokemon/002/002_back_shiny_6e5500ccbf55.png
